"fact_review_id","bank_id","branch_id","location_id","sentiment_id","review_text","relative_topic","topic_meaning","rating","review_date","language","bank_name","branch_name","location","sentiment_label"
"1000","1","22","108","2","je suis toujours bien reçu et aucun problème",3,"Frais bancaires et gestion des comptes",5,"2024-05-27 00:00:00","fr","CIH Bank","CIH Bank - Agence Anfa 131 Bd d'Anfa, Casablanca 20203 ","131 Bd d'Anfa, Casablanca 20203 ","Positive"
"1001","1","66","92","1","la directrice est très courtoise",0,"Qualité du service et relation client",5,"2023-05-27 00:00:00","fr","CIH Bank","CIH Bank - Agence Romandie Boulevard Bir Anzarane, Rue Assakhaoui, Casablanca 20000 ","Boulevard Bir Anzarane, Rue Assakhaoui, Casablanca 20000 ","Negative"
"1002","1","67","83","1","service null  toujours système down pas du tout professional t es obligé de revenir plusieurs fois pour un service",0,"Qualité du service et relation client",1,"2023-05-27 00:00:00","fr","CIH Bank","CIH Bank Sidi Maarouf G8GX+4P3، Av. Abou Bakr el Kadiri Route Principale 1029 Al Mostakbal,gh 4, Rdpt Al Moustakbal, Casablanca 20000 ","G8GX+4P3، Av. Abou Bakr el Kadiri Route Principale 1029 Al Mostakbal,gh 4, Rdpt Al Moustakbal, Casablanca 20000 ","Negative"
"1003","1","77","27","1","service le plus lent sue jai jamais vu dans une banque catastrophique",1,"Autre sujet bancaire",1,"2024-05-27 00:00:00","fr","CIH Bank","CIH Banque 108 Av. 2 Mars, Casablanca 20360 ","108 Av. 2 Mars, Casablanca 20360 ","Negative"
"1004","1","104","85","1","010 manque de communication et service non professionnel",0,"Qualité du service et relation client",1,"2024-12-27 00:00:00","fr","CIH Bank","Cih Bank Marjane Residence Abbassid, Route Agouray, Meknès 50000 ","Residence Abbassid, Route Agouray, Meknès 50000 ","Negative"
"1005","1","50","30","1","toujours désactivé",3,"Frais bancaires et gestion des comptes",1,"2022-05-27 00:00:00","fr","CIH Bank","CIH Bd Oued Edaoura Angle Bd Haj Fateh Et Rue3,oulfa Extention, Casablanca 20000 ","Bd Oued Edaoura Angle Bd Haj Fateh Et Rue3,oulfa Extention, Casablanca 20000 ","Negative"
"1006","1","45","15","2","toujours plein toujours bondé toujours un système en panne toujours vide dargent une agence que jai vue dans ma vie pour les services bancaires",3,"Frais bancaires et gestion des comptes",1,"2024-11-27 00:00:00","fr","CIH Bank","CIH Bank P3011 Route 109 Residence Soltane Magazin, Bouskoura 27182 ","P3011 Route 109 Residence Soltane Magazin, Bouskoura 27182 ","Positive"
"1007","1","54","104","1","mauvais service client",0,"Qualité du service et relation client",1,"2023-05-27 00:00:00","fr","CIH Bank","CIH MARRAKECH HXP4+Q56, Av. Imam Mouslim, Marrakech 40160 ","HXP4+Q56, Av. Imam Mouslim, Marrakech 40160 ","Negative"
"1008","13","73","81","1","mauvaise banque",1,"Autre sujet bancaire",1,"2024-05-11 00:00:00","fr","Bank As-Safa","Bank Assafa J2F5+PXG, Marrakesh 40000 ","J2F5+PXG, Marrakesh 40000 ","Negative"
"1009","1","100","69","2","bonjour
cih bank vous remercie davoir partagé votre retour au plaisir de vous accueillir à nouveau dans notre succursale",0,"Qualité du service et relation client",5,"2024-09-27 00:00:00","fr","CIH Bank","CIH BANK Projet Dar Essalam, Rte de Souihla, Marrakech 40000 ","Projet Dar Essalam, Rte de Souihla, Marrakech 40000 ","Positive"
"1010","1","95","60","1","il ne repond pas au telephone",0,"Qualité du service et relation client",1,"2021-05-27 00:00:00","fr","CIH Bank","CIH Bank, Agence Bernoussi Al Amal N116, Bd Abi Dar Al Ghafari Lot Al Amal, G3, Casablanca 20000 ","N116, Bd Abi Dar Al Ghafari Lot Al Amal, G3, Casablanca 20000 ","Negative"
"1011","1","21","18","3","demain nous viendrons voir un dragon ou verrons un cercle",0,"Qualité du service et relation client",5,"2022-05-27 00:00:00","fr","CIH Bank","CIH Bank - Agence Allal Fassi Bd Allal Al Fassi Lotissement Hamza Lot Nâ°42, 40000 ","Bd Allal Al Fassi Lotissement Hamza Lot Nâ°42, 40000 ","Neutral"
"1012","1","30","50","2","excellents services bancaires",0,"Qualité du service et relation client",5,"2018-05-27 00:00:00","fr","CIH Bank","CIH Bank 89 Boulevard de la Résistance Lotiss, Mohammedia 28800 ","89 Boulevard de la Résistance Lotiss, Mohammedia 28800 ","Positive"
"1013","1","15","93","1","banque nulle service nulle
trop dattente pour être reçu avec des réponses tjrs non concluantes
a la fin de ce calvaire qui ma perdu du temps jai voulu fermé mon compte ils mont dit que le système nacceptait pas la fermeture du compte et quil fallait le gardait ouvert
cest quoi cette connerie",1,"Autre sujet bancaire",1,"2024-11-27 00:00:00","fr","CIH Bank","CIH Imm 7, Residence Semlali, Av. Mediouna, Salé 11000 ","Imm 7, Residence Semlali, Av. Mediouna, Salé 11000 ","Negative"
"1014","1","85","87","1","je suis allée aujourdhui pour ouvrir un compte   lagent de sécurité me dit quil faut attendre une semaine car la personne qui soccupe est absente 
en plus de ça ils répondent jamais au téléphone

est ce que vous trouvez ça normal",1,"Autre sujet bancaire",1,"2021-05-27 00:00:00","fr","CIH Bank","CIH banque Residence Amine, Bd Prince Moulay Abdellah, Marrakesh 40000 ","Residence Amine, Bd Prince Moulay Abdellah, Marrakesh 40000 ","Negative"
"1015","9","73","81","1","une mauvaise communication ils ne répondent pas aux appels telephoniques",0,"Qualité du service et relation client",1,"2025-01-11 00:00:00","fr","Bank Assafa","Bank Assafa J2F5+PXG, Marrakesh 40000 ","J2F5+PXG, Marrakesh 40000 ","Negative"
"1016","1","30","50","2","ils lui ont donné les commodités le service et largent",0,"Qualité du service et relation client",1,"2020-05-27 00:00:00","fr","CIH Bank","CIH Bank 89 Boulevard de la Résistance Lotiss, Mohammedia 28800 ","89 Boulevard de la Résistance Lotiss, Mohammedia 28800 ","Positive"
"1017","1","85","87","1","labsence demployés labsence de langage de dialogue et labsence de direction une agence dirigée par un gardien avec une absence totale de fonctionnaires doit être fermée",0,"Qualité du service et relation client",1,"2025-03-27 00:00:00","fr","CIH Bank","CIH banque Residence Amine, Bd Prince Moulay Abdellah, Marrakesh 40000 ","Residence Amine, Bd Prince Moulay Abdellah, Marrakesh 40000 ","Negative"
"1018","1","53","119","1","mauvais service pire agence",0,"Qualité du service et relation client",1,"2023-05-27 00:00:00","fr","CIH Bank","CIH Bank National Rte 1 Complx. El Bachir Ii, Lot 3 Rte de Rabat, Salé 11000 ","National Rte 1 Complx. El Bachir Ii, Lot 3 Rte de Rabat, Salé 11000 ","Negative"
"1019","1","38","124","1","bad bank service nul
a éviter dutiliser cette banque",4,"Qualité du service et relation client",1,"2023-05-11 00:00:00","fr","CIH Bank","CIH Bank 796H+4X4, Kenitra ","796H+4X4, Kenitra ","Negative"
"1020","1","127","63","1","très très mauvais service",0,"Qualité du service et relation client",1,"2019-05-27 00:00:00","fr","CIH Bank","CIH Avenue Tarik Ibn Ziad Projet Mers El Kheir, Témara 12000 ","Avenue Tarik Ibn Ziad Projet Mers El Kheir, Témara 12000 ","Negative"
"1021","1","53","119","2","accueillir
merci davoir partagé votre avis
comment pouvonsnous vous offrir un meilleur service",2,"Qualité du service et relation client",3,"2024-05-27 00:00:00","fr","CIH Bank","CIH Bank National Rte 1 Complx. El Bachir Ii, Lot 3 Rte de Rabat, Salé 11000 ","National Rte 1 Complx. El Bachir Ii, Lot 3 Rte de Rabat, Salé 11000 ","Positive"
"1022","1","3","79","2","service rapide et organisé",0,"Qualité du service et relation client",5,"2020-05-27 00:00:00","fr","CIH Bank","CIH Bank 21، 10000 Av. Tadla, Rabat 10000 ","21، 10000 Av. Tadla, Rabat 10000 ","Positive"
"1023","1","104","85","1","mauvais service malheureusement",0,"Qualité du service et relation client",1,"2021-05-27 00:00:00","fr","CIH Bank","Cih Bank Marjane Residence Abbassid, Route Agouray, Meknès 50000 ","Residence Abbassid, Route Agouray, Meknès 50000 ","Negative"
"1024","1","7","42","2","100 étoiles
service absent voire inexistant",0,"Qualité du service et relation client",1,"2024-05-27 00:00:00","fr","CIH Bank","CIH Bank Alles De La Gare, Bd Chefchaouni, Casablanca 20000 ","Alles De La Gare, Bd Chefchaouni, Casablanca 20000 ","Positive"
"1025","1","26","25","2","je tiens à exprimer ma gratitude pour lexcellent service de cih bank chaque expérience a été fluide et professionnelle grâce à léquipe dévouée une mention spéciale à son nom une agente commerciale remarquable qui se surpasse pour accompagner les clients avec patience expertise et attitude amicale son professionnalisme et son dévouement font vraiment la différence cih bank a la chance de compter dans son équipe un professionnel aussi engagé continuez votre excellent travail",0,"Qualité du service et relation client",5,"2025-02-27 00:00:00","fr","CIH Bank","CIH BANK, Agence BOUZNIKA. Bd Bir Anzarane, Bouznika 13100 ","Bd Bir Anzarane, Bouznika 13100 ","Positive"
"1026","1","120","105","2","service de déménagement",0,"Qualité du service et relation client",1,"2024-08-27 00:00:00","fr","CIH Bank","CIH X4PF+GFR, Av. Al Massira, Rabat ","X4PF+GFR, Av. Al Massira, Rabat ","Positive"
"1027","8","52","84","2","personnel sympathique",0,"Qualité du service et relation client",4,"2019-05-21 00:00:00","fr","Citibank","Citibank G9R5+C6J, Bd de Fes, Casablanca 20000 ","G9R5+C6J, Bd de Fes, Casablanca 20000 ","Positive"
"1028","1","103","17","1","le service est très long  très loin d satisfaire la clientèle  les deux jeune fille sont incroyable  vrement a éviter cette bank
j suis déçu  18 jours pour avoir une carte guichet qui etait demandé le 31 janvier 2019",0,"Qualité du service et relation client",1,"2019-05-27 00:00:00","fr","CIH Bank","CIH Bank - Agence Gueliz Centrale 187 Av. Mohammed V, Marrakech 40000 ","187 Av. Mohammed V, Marrakech 40000 ","Negative"
"1029","1","126","11","1","un centre dappels inutile et très très médiocre un centre des incompétents un centre dappels formé pour dire uniquement la fameuse phrase il faut se déplacer à lagence ridicule",0,"Qualité du service et relation client",1,"2021-05-27 00:00:00","fr","CIH Bank","CIH BANK Av. des F.A.R, Avenue Hassan II 187, Casablanca 20000 ","Av. des F.A.R, Avenue Hassan II 187, Casablanca 20000 ","Negative"
"1030","1","110","64","1","bonjour
nous nous excusons de ne pas avoir pu répondre à vos attentes veuillez nous contacter au 4747 ou à ladresse reclamationsclientscihbankma nous ferons de notre mieux pour vous offrir un meilleur service",2,"Qualité du service et relation client",1,"2024-05-27 00:00:00","fr","CIH Bank","CIH Rue Ourika Hay Nahda Lot N°469, Rabat 10000 ","Rue Ourika Hay Nahda Lot N°469, Rabat 10000 ","Negative"
"1031","12","71","111","2","excellent service  une équipe accueillante et efficace  je recommande cette banque",4,"Qualité du service et relation client",5,"2023-05-21 00:00:00","fr","Bank Al Yousr","Bank Al Yousr - Agence Allal Al Fassi J2R2+83J, Bd Allal Al Fassi, Marrakech 40000 ","J2R2+83J, Bd Allal Al Fassi, Marrakech 40000 ","Positive"
"1032","13","92","22","2","bonjour cest une belle expérience pleine du professionnalisme grâce à léquipe organisée et activé du bank assafa agadir rue de marrakech
merci pour tous",0,"Qualité du service et relation client",5,"2024-10-21 00:00:00","fr","Bank As-Safa","Bank Assafa Agadir - Rue de Marrakech Prés du laboratoire Tantaoui, Rue de Marrakech, Agadir 80000 ","Prés du laboratoire Tantaoui, Rue de Marrakech, Agadir 80000 ","Positive"
"1033","1","12","66","1","accueillir
nous sommes désolés de navoir pas pu répondre à vos attentes
nous vous invitons à nous contacter au 4747 ou à reclamationsclientscihbankma nous ferons de notre mieux pour vous offrir un meilleur service",2,"Qualité du service et relation client",1,"2024-10-27 00:00:00","fr","CIH Bank","CIH Bank Route Agadir Essaouira Oper.bab Marrakeche Magasin 27, Marrakech 40000 ","Route Agadir Essaouira Oper.bab Marrakeche Magasin 27, Marrakech 40000 ","Negative"
"1034","1","127","63","2","bonjour
cih bank vous remercie davoir partagé votre retour au plaisir de vous accueillir à nouveau dans notre succursale",0,"Qualité du service et relation client",5,"2024-05-27 00:00:00","fr","CIH Bank","CIH Avenue Tarik Ibn Ziad Projet Mers El Kheir, Témara 12000 ","Avenue Tarik Ibn Ziad Projet Mers El Kheir, Témara 12000 ","Positive"
"1035","1","119","90","2","guichet automatique de service",0,"Qualité du service et relation client",5,"2022-05-27 00:00:00","fr","CIH Bank","CIH Bank, Agence Place du Marché, Casablanca. Ang.ballon Alsace Et Bourbonnais، Rue El Kadi Iass, Casablanca 20000 ","Ang.ballon Alsace Et Bourbonnais، Rue El Kadi Iass, Casablanca 20000 ","Positive"
"1036","1","43","125","2","nous sommes ici quand nous vivons ce jour",0,"Qualité du service et relation client",1,"2024-05-27 00:00:00","fr","CIH Bank","CIH Bank av. Annakhil, imm. High Tech n°3 hay Ryad, Agdal Riyad ","av. Annakhil, imm. High Tech n°3 hay Ryad, Agdal Riyad ","Positive"
"1037","1","32","29","1","mauvaise comportement avec les clients
chaque fois il y a des horaires différente de travail pour ouvrir les comptes
et chaque fois il y a une appareil  qui ne marche pas",1,"Autre sujet bancaire",1,"2023-05-27 00:00:00","fr","CIH Bank","CIH Bank 236 Ave Moulay Ali Chrif, Temara 12000 ","236 Ave Moulay Ali Chrif, Temara 12000 ","Negative"
"1038","1","75","6","1","mauvaise expérience service d opérations commerciale  tjr le système ne fonctionne pas",0,"Qualité du service et relation client",1,"2021-05-27 00:00:00","fr","CIH Bank","CIH Bank Residence Saadane A, Hay Masrour, Av. Mohammed V, Témara 12000 ","Residence Saadane A, Hay Masrour, Av. Mohammed V, Témara 12000 ","Negative"
"1039","1","119","90","2","service",0,"Qualité du service et relation client",1,"2022-05-27 00:00:00","en","CIH Bank","CIH Bank, Agence Place du Marché, Casablanca. Ang.ballon Alsace Et Bourbonnais، Rue El Kadi Iass, Casablanca 20000 ","Ang.ballon Alsace Et Bourbonnais، Rue El Kadi Iass, Casablanca 20000 ","Positive"
"1040","1","101","33","1","service0000toujours système en panne dame chargé des documents impoli parle dune façon",3,"Frais bancaires et gestion des comptes",1,"2023-05-27 00:00:00","fr","CIH Bank","CIH Bank, Agence Dakhla, Mohammedia. 59 Bd de Sebta, Mohammédia 28800 ","59 Bd de Sebta, Mohammédia 28800 ","Negative"
"1041","1","7","42","1","une note plutot à la banque plutot quà lapplication 
1 tout les gab sont en panne et en manque de liquidité meme oumniya banque la filiale
2 agence ain sebaa sur peuplé pour faire une simple opperation il me faut au moins une demi journée
3 application souvent en panne constament en erreur technique
4 personnel de la banque non courtois et impoli  je ne generalise pas mais dapres mon experience avec la cc des heures en appel telephonique avec ses amis",4,"Qualité du service et relation client",1,"2024-06-27 00:00:00","fr","CIH Bank","CIH Bank Alles De La Gare, Bd Chefchaouni, Casablanca 20000 ","Alles De La Gare, Bd Chefchaouni, Casablanca 20000 ","Negative"
"1042","1","83","118","2","personnel tres accueillant et excellent  service",0,"Qualité du service et relation client",5,"2024-10-27 00:00:00","fr","CIH Bank","CIH BANK 259F+224, Avenue d'Alger, Rue Kairaouane, Rabat 10020 ","259F+224, Avenue d'Alger, Rue Kairaouane, Rabat 10020 ","Positive"
"1043","13","73","81","2","accueil et cadres au niveau",0,"Qualité du service et relation client",5,"2024-05-11 00:00:00","fr","Bank As-Safa","Bank Assafa J2F5+PXG, Marrakesh 40000 ","J2F5+PXG, Marrakesh 40000 ","Positive"
"1044","1","85","87","1","je suis très déçu par le service de mademoiselle  salma berrada à la banque cih de la route safi la qualité de son accueil laisse à désirer et jai eu limpression dêtre traité comme un fardeau plutôt quun client ses réponses étaient souvent brusques et peu professionnelles ce qui ne correspond pas aux standards que jattends dune banque comme cih maroc une amélioration du service client serait fortement appréciée",0,"Qualité du service et relation client",1,"2024-07-27 00:00:00","fr","CIH Bank","CIH banque Residence Amine, Bd Prince Moulay Abdellah, Marrakesh 40000 ","Residence Amine, Bd Prince Moulay Abdellah, Marrakesh 40000 ","Negative"
"1045","1","18","127","1","le pire des agences cih mauvais service client personnel incompétent et irresponsable manque du respect envers ls clients et des horaires de service",0,"Qualité du service et relation client",1,"2023-05-27 00:00:00","fr","CIH Bank","CIH Bank - Agence Mly Abdellah 25-26, Bd Prince Moulay Abdellah, Marrakech 40000 ","25-26, Bd Prince Moulay Abdellah, Marrakech 40000 ","Negative"
"1046","1","28","23","1","malheureusement on ne peux faire zéro étoile
une application qui ne marche pas qui nest pas claire 
en plus un service client qui répond pas et aucun téléphone ne répond
nul",0,"Qualité du service et relation client",1,"2024-08-27 00:00:00","fr","CIH Bank","CIH Bank 47 Av. Allal Ben Abdellah, Rabat 10000 ","47 Av. Allal Ben Abdellah, Rabat 10000 ","Negative"
"1047","1","101","33","1","pire service ils expulsent les clients de la banque pour quils puissent passer une journée reposante",4,"Qualité du service et relation client",1,"2022-05-27 00:00:00","fr","CIH Bank","CIH Bank, Agence Dakhla, Mohammedia. 59 Bd de Sebta, Mohammédia 28800 ","59 Bd de Sebta, Mohammédia 28800 ","Negative"
"1048","1","18","127","3","le service est zero sauf la fille de la caisse et lagent de sécurité ils sont agréables et serviable",0,"Qualité du service et relation client",1,"2024-11-27 00:00:00","fr","CIH Bank","CIH Bank - Agence Mly Abdellah 25-26, Bd Prince Moulay Abdellah, Marrakech 40000 ","25-26, Bd Prince Moulay Abdellah, Marrakech 40000 ","Neutral"
"1049","1","24","82","1","mauvaise service",0,"Qualité du service et relation client",1,"2022-05-27 00:00:00","fr","CIH Bank","CIH Bank Bd Hassan II, Settat 26000 ","Bd Hassan II, Settat 26000 ","Negative"
"1050","1","2","2","1","mauvais service très mauvais",0,"Qualité du service et relation client",1,"2022-05-27 00:00:00","fr","CIH Bank","CIH Bank PJ25+C65، ANGLE RUE CHENGUITE ET RUE EL GHARB, Mohammedia ","PJ25+C65، ANGLE RUE CHENGUITE ET RUE EL GHARB, Mohammedia ","Negative"
"1051","1","126","11","1","mauvais service je resilier mes comptes",0,"Qualité du service et relation client",1,"2022-05-27 00:00:00","fr","CIH Bank","CIH BANK Av. des F.A.R, Avenue Hassan II 187, Casablanca 20000 ","Av. des F.A.R, Avenue Hassan II 187, Casablanca 20000 ","Negative"
"1052","1","91","65","1","guichet 70 en panne   accueil null service moyenne et temps dattente",0,"Qualité du service et relation client",2,"2018-05-27 00:00:00","fr","CIH Bank","CIH Bank Rue de Goulmima Amperes, S.belyout, Casablanca 20000 ","Rue de Goulmima Amperes, S.belyout, Casablanca 20000 ","Negative"
"1053","1","14","56","1","une banque a un problème avec la connexion réseau ou internet qui est en panne la plupart du temps un temps dattente long à lintérieur de la banque pour effectuer les opérations les plus simples les jeunes utilisateurs de la banque ne sont pas au niveau requis il ny a pas assez de banques un petit nombre et pas assez pour venir travailler en banque",1,"Autre sujet bancaire",2,"2023-05-27 00:00:00","fr","CIH Bank","CIH Bank Lot 39 Av. Moulay Abdellah, Sala Al Jadida 11102 ","Lot 39 Av. Moulay Abdellah, Sala Al Jadida 11102 ","Negative"
"1054","1","50","30","2","je suis content de toi",0,"Qualité du service et relation client",5,"2023-05-27 00:00:00","fr","CIH Bank","CIH Bd Oued Edaoura Angle Bd Haj Fateh Et Rue3,oulfa Extention, Casablanca 20000 ","Bd Oued Edaoura Angle Bd Haj Fateh Et Rue3,oulfa Extention, Casablanca 20000 ","Positive"
"1055","1","110","64","1","jai été choqué par le comportement inacceptable de votre directrice qui a été extrêmement impolie et désagréable son manque de professionnalisme et de respect envers les clients est inacceptable et a grandement affecté mon expérience je suis profondément déçu par ce niveau de service médiocre et je pense sérieusement à changer de banque",1,"Autre sujet bancaire",1,"2024-05-27 00:00:00","fr","CIH Bank","CIH Rue Ourika Hay Nahda Lot N°469, Rabat 10000 ","Rue Ourika Hay Nahda Lot N°469, Rabat 10000 ","Negative"
"1056","1","103","17","1","les guichets sont toujours hors de service",0,"Qualité du service et relation client",1,"2022-05-27 00:00:00","fr","CIH Bank","CIH Bank - Agence Gueliz Centrale 187 Av. Mohammed V, Marrakech 40000 ","187 Av. Mohammed V, Marrakech 40000 ","Negative"
"1057","1","18","127","2","la merveilleuse employée est merveilleuse dans un sens merveilleux pratique et belle avec un caractère moral brillant et une excellente communication",0,"Qualité du service et relation client",5,"2024-05-27 00:00:00","fr","CIH Bank","CIH Bank - Agence Mly Abdellah 25-26, Bd Prince Moulay Abdellah, Marrakech 40000 ","25-26, Bd Prince Moulay Abdellah, Marrakech 40000 ","Positive"
"1058","1","18","127","1","accueil déplorable
agent de sécurité grossier et mal élevé
banque et agence à éviter",4,"Qualité du service et relation client",1,"2024-07-27 00:00:00","fr","CIH Bank","CIH Bank - Agence Mly Abdellah 25-26, Bd Prince Moulay Abdellah, Marrakech 40000 ","25-26, Bd Prince Moulay Abdellah, Marrakech 40000 ","Negative"
"1059","1","105","126","1","une véritable catastrophe le directeur ma tout simplement menti afin que je puisse revenir dans sa banque
pour encaisser un chèque il navait pas despèces le jour même alors que jaurais pu encaisser mon chèque ailleurs il ma certifié que non
je suis revenu à la date indiquée pour encaisser mes espèces largent nétait pas là jai dû attendre à nouveau
vraiment à éviter à fuire même",1,"Autre sujet bancaire",1,"2023-05-27 00:00:00","fr","CIH Bank","CIH Bank MJVM+F7J, El-Hajeb ","MJVM+F7J, El-Hajeb ","Negative"
"1060","1","94","26","1","il ny a rien à voir avec getty awal doz nahar 0",1,"Autre sujet bancaire",1,"2025-02-27 00:00:00","fr","CIH Bank","CIH Bank GCJ7+G8P, Bd Tah, Casablanca ","GCJ7+G8P, Bd Tah, Casablanca ","Negative"
"1061","1","64","51","1","mauvaise service je parle de cette agence  personne ne réponds au téléphone et surtout avec cette crise mondial de covid tout les agences travail a distance sauf cette agence vraiment cest du nimporte quoi javais un problème de la carte ca fait presque une année et le problème nest pas encore résolu sincèrement vous me poussez de change lagence",4,"Qualité du service et relation client",1,"2021-05-27 00:00:00","fr","CIH Bank","CIH Bank - Agence Bab Agnaou Kissaria.Zrikem, Pass. Prince Moulay Rachid, Marrakech 40000 ","Kissaria.Zrikem, Pass. Prince Moulay Rachid, Marrakech 40000 ","Negative"
"1062","1","85","87","1","la grandebretagne na aucune idée de ce que cest que de passer un bon moment quand je marche normalement",0,"Qualité du service et relation client",1,"2025-02-27 00:00:00","fr","CIH Bank","CIH banque Residence Amine, Bd Prince Moulay Abdellah, Marrakesh 40000 ","Residence Amine, Bd Prince Moulay Abdellah, Marrakesh 40000 ","Negative"
"1063","1","33","88","1","le système est toujours en panne ca fait 4 fois que je me déplace et toujours le système est en panne
cette agence est vraiment à éviter",3,"Frais bancaires et gestion des comptes",1,"2023-05-27 00:00:00","fr","CIH Bank","CIH Banque KM 3, Avenue Mohamed VI, 5 Rue du Rif, Rabat 10000 ","KM 3, Avenue Mohamed VI, 5 Rue du Rif, Rabat 10000 ","Negative"
"1064","1","99","12","1","très mauvais comportement envers le client  cet mon tour et là la dame qui est chargée de clientèle dkhlat sa copine et elle commençait à parler pendant 15min quand jai réclamé bdat tatnfkh vraiment nul",0,"Qualité du service et relation client",1,"2021-05-27 00:00:00","fr","CIH Bank","CIH BANK Av. Mohamed V, Salé ","Av. Mohamed V, Salé ","Negative"
"1065","10","76","97","2","sonny li",0,"Qualité du service et relation client",5,"2025-02-21 00:00:00","fr","Al Barid Bank","Al Barid Bank 798M+FG5, Kénitra ","798M+FG5, Kénitra ","Positive"
"1066","1","26","25","1","très mauvais service lemployée se comporte comme si cétait le patron de cet établissementelle travaille lentement plus elle a  quittée le poste de travail durant 15 ou 20 min tu dois y attendre longtemps elle te demande de revenir 2 ou 3 jours car elle naura pas le temps de traiter ta demande aujourdhui yavait que 4 clients devant elle jai voulu ouvrir un compte chez eux jai annulé",1,"Autre sujet bancaire",1,"2024-05-27 00:00:00","fr","CIH Bank","CIH BANK, Agence BOUZNIKA. Bd Bir Anzarane, Bouznika 13100 ","Bd Bir Anzarane, Bouznika 13100 ","Negative"
"1067","1","114","75","1","je me suis rendu trois fois à lagence marrakech mhamid 9 aujourdhui 16 juillet 2024 pour menquérir dun prêt à chaque fois le directeur de la banque nétait pas présent et on ma conseillé de revenir plus tard",1,"Autre sujet bancaire",1,"2024-07-27 00:00:00","fr","CIH Bank","CIH BANK Av. Guemassa Gh 14, Lots 11,12,13 Lotissement M Hamid, 40000 ","Av. Guemassa Gh 14, Lots 11,12,13 Lotissement M Hamid, 40000 ","Negative"
"1068","1","53","119","1","très mauvaise expérience dans cette agence lagent ne respecte pas lordre des tickets et fait passer ses connaissances en priorité quand jai osé signaler linjustice il a été impoli et condescendant attente de plus de 40 minutes pour un simple dépôt manque total de professionnalisme et de respect envers les clients",4,"Qualité du service et relation client",1,"2025-05-06 00:00:00","fr","CIH Bank","CIH Bank National Rte 1 Complx. El Bachir Ii, Lot 3 Rte de Rabat, Salé 11000 ","National Rte 1 Complx. El Bachir Ii, Lot 3 Rte de Rabat, Salé 11000 ","Negative"
"1069","1","38","124","1","tres mauvais service je ne recommande pas",0,"Qualité du service et relation client",1,"2024-10-21 00:00:00","fr","CIH Bank","CIH Bank 796H+4X4, Kenitra ","796H+4X4, Kenitra ","Negative"
"1070","1","40","32","1","agence de mauvaise qualité",0,"Qualité du service et relation client",1,"2022-05-27 00:00:00","fr","CIH Bank","CIH Bank - Agence Daoudiate شارع فلسطين, Marrakech 40000 ","شارع فلسطين, Marrakech 40000 ","Negative"
"1071","1","75","6","1","bonjour
nous nous excusons de ne pas avoir pu répondre à vos attentes veuillez nous contacter au 4747 ou à ladresse reclamationsclientscihbankma nous ferons de notre mieux pour vous offrir un meilleur service",2,"Qualité du service et relation client",1,"2024-05-27 00:00:00","fr","CIH Bank","CIH Bank Residence Saadane A, Hay Masrour, Av. Mohammed V, Témara 12000 ","Residence Saadane A, Hay Masrour, Av. Mohammed V, Témara 12000 ","Negative"
"1072","1","89","102","1","mauvais traitement du client  a chaque fois que jy vais soit je trouve une file dattente très longue et après une longue attente ils me disent de revenir demain sous prétexte dinternet",0,"Qualité du service et relation client",1,"2022-05-27 00:00:00","fr","CIH Bank","CIH Bank Lotissmt، Avenue Saida، Alem 5 Lot5, Meknes 50000 ","Lotissmt، Avenue Saida، Alem 5 Lot5, Meknes 50000 ","Negative"
"1073","1","75","6","1","service actuel est très insatisfaisant guichet est constamment hors service malgré plusieurs réclamations aucune réponse de la part du service",0,"Qualité du service et relation client",1,"2024-05-27 00:00:00","fr","CIH Bank","CIH Bank Residence Saadane A, Hay Masrour, Av. Mohammed V, Témara 12000 ","Residence Saadane A, Hay Masrour, Av. Mohammed V, Témara 12000 ","Negative"
"1074","1","16","89","1","toujours pas de système",3,"Frais bancaires et gestion des comptes",1,"2023-05-27 00:00:00","fr","CIH Bank","CIH BANK Al Bousstan II, Casablanca 20250 ","Al Bousstan II, Casablanca 20250 ","Negative"
"1075","1","58","128","1","banque innutile systeme ne fonctionne pas pas dargent au guichet",1,"Autre sujet bancaire",1,"2021-05-27 00:00:00","fr","CIH Bank","CIH Bank, Agence Derb Ghallef, Casablanca Boulevard Bir Anzarane, Casablanca 20250 ","Boulevard Bir Anzarane, Casablanca 20250 ","Negative"
"1076","1","127","63","1","service null

a chaque fois panne au système",4,"Qualité du service et relation client",1,"2024-05-27 00:00:00","fr","CIH Bank","CIH Avenue Tarik Ibn Ziad Projet Mers El Kheir, Témara 12000 ","Avenue Tarik Ibn Ziad Projet Mers El Kheir, Témara 12000 ","Negative"
"1077","1","110","64","1","comptez une heure minimum dattente debout pour avoir le moindre service retrait carte par exemple",0,"Qualité du service et relation client",1,"2023-05-27 00:00:00","fr","CIH Bank","CIH Rue Ourika Hay Nahda Lot N°469, Rabat 10000 ","Rue Ourika Hay Nahda Lot N°469, Rabat 10000 ","Negative"
"1078","1","70","16","1","vraiment niveau bas",0,"Qualité du service et relation client",1,"2021-05-27 00:00:00","fr","CIH Bank","CIH Rue Oued Laou, Ibn Sina, Casablanca 20000 ","Rue Oued Laou, Ibn Sina, Casablanca 20000 ","Negative"
